,,accuracy mean,accuracy std,precision-micro mean,precision-micro std,precision-macro mean,precision-macro std,precision-weighted mean,precision-weighted std,recall-micro mean,recall-micro std,recall-macro mean,recall-macro std,recall-weighted mean,recall-weighted std,f1-micro mean,f1-micro std,f1-macro mean,f1-macro std,f1-weighted mean,f1-weighted std
LogisticAdaBoost,winequality_white,0.50612497,0.00000000,0.50612497,0.00000000,0.25050485,0.00000000,0.46934804,0.00000000,0.50612497,0.00000000,0.20084758,0.00000000,0.50612497,0.00000000,0.50612497,0.00000000,0.19236323,0.00000000,0.45391133,0.00000000
LogisticAdaBoost,ionosphere,0.88603991,0.00000000,0.88603991,0.00000000,0.90592706,0.00000000,0.89386410,0.00000000,0.88603991,0.00000000,0.85000002,0.00000000,0.88603991,0.00000000,0.88603991,0.00000000,0.86796159,0.00000000,0.88172382,0.00000000
LogisticAdaBoost,hayes_roth_full,0.60000002,0.00000000,0.60000002,0.00000000,0.50128394,0.00000000,0.39847383,0.00000000,0.60000002,0.00000000,0.66666669,0.00000000,0.60000002,0.00000000,0.60000002,0.00000000,0.55668801,0.00000000,0.46599358,0.00000000
LogisticAdaBoost,vehicle,0.66903073,0.00000000,0.66903073,0.00000000,0.64096040,0.00000000,0.63969666,0.00000000,0.66903073,0.00000000,0.67348140,0.00000000,0.66903073,0.00000000,0.66903073,0.00000000,0.64486134,0.00000000,0.64202332,0.00000000
LogisticAdaBoost,winequality_red,0.56660414,0.00000000,0.56660414,0.00000000,0.25110117,0.00000000,0.51466680,0.00000000,0.56660414,0.00000000,0.23792279,0.00000000,0.56660414,0.00000000,0.56660414,0.00000000,0.22673512,0.00000000,0.52370679,0.00000000
LogisticAdaBoost,diabetes,0.76041669,0.00000000,0.76041669,0.00000000,0.73988235,0.00000000,0.75542951,0.00000000,0.76041669,0.00000000,0.71814746,0.00000000,0.76041669,0.00000000,0.76041669,0.00000000,0.72554606,0.00000000,0.75505066,0.00000000
LogisticAdaBoost,wine,0.96067417,0.00000000,0.96067417,0.00000000,0.96254998,0.00000000,0.96233296,0.00000000,0.96067417,0.00000000,0.96293354,0.00000000,0.96067417,0.00000000,0.96067417,0.00000000,0.96174240,0.00000000,0.96051526,0.00000000
LogisticAdaBoost,liver_disorders,0.71304345,0.00000000,0.71304345,0.00000000,0.70778304,0.00000000,0.71201313,0.00000000,0.71304345,0.00000000,0.69760436,0.00000000,0.71304345,0.00000000,0.71304345,0.00000000,0.69926816,0.00000000,0.70931107,0.00000000
LogisticAdaBoost,sonar,0.79615384,0.00942111,0.79615384,0.00942111,0.79759097,0.00916651,0.79867470,0.00896409,0.79615384,0.00942111,0.79533428,0.00912770,0.79615384,0.00942111,0.79615384,0.00942111,0.79456347,0.00935154,0.79553425,0.00939642
LogisticAdaBoost,kdd_synthetic_control,0.74000001,0.00000000,0.74000001,0.00000000,0.77868688,0.00000000,0.77868688,0.00000000,0.74000001,0.00000000,0.74000001,0.00000000,0.74000001,0.00000000,0.74000001,0.00000000,0.71384817,0.00000000,0.71384817,0.00000000
LogisticAdaBoost,segment,0.86233765,0.00000000,0.86233765,0.00000000,0.87539995,0.00000000,0.87539995,0.00000000,0.86233765,0.00000000,0.86233765,0.00000000,0.86233765,0.00000000,0.86233765,0.00000000,0.85036784,0.00000000,0.85036784,0.00000000
LogisticAdaBoost,semeion,0.94538605,0.00000000,0.94538605,0.00000000,0.90170163,0.00000000,0.94184220,0.00000000,0.94538605,0.00000000,0.76680756,0.00000000,0.94538605,0.00000000,0.94538605,0.00000000,0.81696981,0.00000000,0.93988991,0.00000000
LogisticAdaBoost,iris,0.93333334,0.00000000,0.93333334,0.00000000,0.93584406,0.00000000,0.93584406,0.00000000,0.93333334,0.00000000,0.93333334,0.00000000,0.93333334,0.00000000,0.93333334,0.00000000,0.93314219,0.00000000,0.93314219,0.00000000
LogisticAdaBoost,ecoli,0.76488096,0.00000000,0.76488096,0.00000000,0.49758300,0.00000000,0.65668368,0.00000000,0.76488096,0.00000000,0.50531226,0.00000000,0.76488096,0.00000000,0.76488096,0.00000000,0.48221427,0.00000000,0.69573307,0.00000000
LogisticAdaBoost,glass,0.59813082,0.00000000,0.59813082,0.00000000,0.46909571,0.00000000,0.53477943,0.00000000,0.59813082,0.00000000,0.45114729,0.00000000,0.59813082,0.00000000,0.59813082,0.00000000,0.44207361,0.00000000,0.55100089,0.00000000
AdaBoostOnes,winequality_white,0.41527155,0.00000000,0.41527155,0.00000000,0.21909890,0.00000000,0.41708946,0.00000000,0.41527155,0.00000000,0.18893003,0.00000000,0.41527155,0.00000000,0.41527155,0.00000000,0.16762088,0.00000000,0.35913086,0.00000000
AdaBoostOnes,ionosphere,0.92592591,0.00000000,0.92592591,0.00000000,0.92604691,0.00000000,0.92641461,0.00000000,0.92592591,0.00000000,0.91253966,0.00000000,0.92592591,0.00000000,0.92592591,0.00000000,0.91827822,0.00000000,0.92531550,0.00000000
