,accuracy mean,accuracy std,precision-micro mean,precision-micro std,precision-macro mean,precision-macro std,precision-weighted mean,precision-weighted std,recall-micro mean,recall-micro std,recall-macro mean,recall-macro std,recall-weighted mean,recall-weighted std,f1-micro mean,f1-micro std,f1-macro mean,f1-macro std,f1-weighted mean,f1-weighted std
kdd_synthetic_control,0.77533334,0.00653197,0.77533334,0.00653197,0.80189699,0.00557968,0.80189699,0.00557968,0.77533334,0.00653197,0.77533334,0.00653197,0.77533334,0.00653197,0.77533334,0.00653197,0.76195645,0.00886914,0.76195645,0.00886914
diabetes,0.74648440,0.00403646,0.74648440,0.00403646,0.72598004,0.00422064,0.74712563,0.00363900,0.74648440,0.00403646,0.71412569,0.00493689,0.74648440,0.00403646,0.74648440,0.00403646,0.71693867,0.00451501,0.74423510,0.00399215
iris,0.93000001,0.00333333,0.93000001,0.00333333,0.93306750,0.00277652,0.93306750,0.00277652,0.93000001,0.00333333,0.93000001,0.00333333,0.93000001,0.00333333,0.93000001,0.00333333,0.92969519,0.00344698,0.92969519,0.00344698
liver_disorders,0.71623188,0.00911547,0.71623188,0.00911547,0.71144545,0.00933309,0.71879107,0.00919934,0.71623188,0.00911547,0.70934147,0.00948629,0.71623188,0.00911547,0.71623188,0.00911547,0.70856035,0.00938704,0.71574372,0.00914312
hayes_roth_full,0.59625000,0.00306186,0.59625000,0.00306186,0.49974322,0.00125797,0.39472383,0.00306186,0.59625000,0.00306186,0.66666669,0.00000000,0.59625000,0.00306186,0.59625000,0.00306186,0.55531842,0.00111827,0.46182713,0.00340191
sonar,0.78990382,0.01360670,0.78990382,0.01360670,0.80080581,0.01154171,0.80102283,0.01170579,0.78990382,0.01360670,0.78817928,0.01416477,0.78990382,0.01360670,0.78990382,0.01360670,0.78635865,0.01473764,0.78745371,0.01450628
glass,0.60327101,0.00607477,0.60327101,0.00607477,0.44360361,0.01880281,0.53279036,0.00708127,0.60327101,0.00607477,0.49608380,0.01582298,0.60327101,0.00607477,0.60327101,0.00607477,0.45878598,0.01687679,0.55506146,0.00523945
winequality_red,0.56516576,0.00209389,0.56516576,0.00209389,0.29012185,0.00699480,0.54141998,0.00448844,0.56516576,0.00209389,0.27149472,0.00644249,0.56516576,0.00209389,0.56516576,0.00209389,0.27183086,0.00622080,0.54325247,0.00330975
segment,0.86623377,0.00152440,0.86623377,0.00152440,0.88508052,0.00155750,0.88508052,0.00155750,0.86623377,0.00152440,0.86623377,0.00152440,0.86623377,0.00152440,0.86623377,0.00152440,0.85435677,0.00159539,0.85435677,0.00159539
vehicle,0.65307331,0.00637093,0.65307331,0.00637093,0.64910269,0.00647587,0.64717537,0.00646973,0.65307331,0.00637093,0.65530437,0.00656118,0.65307331,0.00637093,0.65307331,0.00637093,0.64448112,0.00881563,0.64241403,0.00873859
winequality_white,0.49281338,0.00267417,0.49281338,0.00267417,0.26651153,0.00616456,0.47001389,0.00352121,0.49281338,0.00267417,0.21270007,0.00630695,0.49281338,0.00267417,0.49281338,0.00267417,0.20916960,0.00573464,0.44919714,0.00238334
ecoli,0.82113093,0.00363290,0.82113093,0.00363290,0.58109415,0.01128624,0.81426340,0.00510616,0.82113093,0.00363290,0.61539471,0.01731930,0.82113093,0.00363290,0.82113093,0.00363290,0.57847506,0.01231685,0.80994010,0.00353066
semeion,0.96748275,0.00165611,0.96748275,0.00165611,0.92205608,0.00602634,0.96678740,0.00172555,0.96748275,0.00165611,0.89143330,0.00712411,0.96748275,0.00165611,0.96748275,0.00165611,0.90466386,0.00486875,0.96668011,0.00168834
wine,0.94831461,0.00420411,0.94831461,0.00420411,0.94897157,0.00474786,0.95056611,0.00430536,0.94831461,0.00420411,0.95343488,0.00371129,0.94831461,0.00420411,0.94831461,0.00420411,0.94979775,0.00407058,0.94800603,0.00436664
ionosphere,0.91680914,0.00398860,0.91680914,0.00398860,0.92120039,0.00640355,0.91798794,0.00451643,0.91680914,0.00398860,0.89722222,0.00390118,0.91680914,0.00398860,0.91680914,0.00398860,0.90688610,0.00429717,0.91545081,0.00396146
