,accuracy mean,accuracy std,precision-micro mean,precision-micro std,precision-macro mean,precision-macro std,precision-weighted mean,precision-weighted std,recall-micro mean,recall-micro std,recall-macro mean,recall-macro std,recall-weighted mean,recall-weighted std,f1-micro mean,f1-micro std,f1-macro mean,f1-macro std,f1-weighted mean,f1-weighted std
kdd_synthetic_control,0.01916667,0.02829655,0.01916667,0.02829655,0.01155851,0.01543303,0.01155851,0.01543303,0.01916667,0.02829655,0.01916667,0.02829655,0.01916667,0.02829655,0.01916667,0.02829655,0.01155273,0.01611135,0.01155273,0.01611135
diabetes,0.51210940,0.09188881,0.51210940,0.09188881,0.37104216,0.04431513,0.43293461,0.04492965,0.51210940,0.09188881,0.41543108,0.05550326,0.51210940,0.09188881,0.51210940,0.09188881,0.36189318,0.03621615,0.44453451,0.06131482
iris,0.18666667,0.09413937,0.18666667,0.09413937,0.16936089,0.07701080,0.16936089,0.07701080,0.18666667,0.09413937,0.18666667,0.09413937,0.18666667,0.09413937,0.18666667,0.09413937,0.15480505,0.07715666,0.15480505,0.07715666
liver_disorders,0.40637681,0.01262118,0.40637681,0.01262118,0.23749098,0.05043515,0.20982257,0.05835172,0.40637681,0.01262118,0.48226184,0.01651406,0.40637681,0.01262118,0.40637681,0.01262118,0.29235959,0.00421011,0.24735156,0.00419224
hayes_roth_full,0.23500000,0.06966437,0.23500000,0.06966437,0.15788195,0.08689077,0.13553317,0.06107013,0.23500000,0.06966437,0.23293750,0.07474206,0.23500000,0.06966437,0.23500000,0.06966437,0.14991961,0.05705971,0.14832291,0.04935372
sonar,0.38028845,0.05135237,0.38028845,0.05135237,0.27438599,0.04216270,0.28375873,0.04119124,0.38028845,0.05135237,0.36179450,0.04608195,0.38028845,0.05135237,0.38028845,0.05135237,0.29398796,0.02751170,0.30752984,0.03085508
glass,0.04392523,0.02694119,0.04392523,0.02694119,0.02847602,0.02591816,0.03254081,0.02730589,0.04392523,0.02694119,0.05425289,0.02878262,0.04392523,0.02694119,0.04392523,0.02694119,0.02738654,0.01950286,0.03034182,0.02488571
winequality_red,0.03183240,0.01832182,0.03183240,0.01832182,0.04085936,0.02326011,0.07681672,0.05589616,0.03183240,0.01832182,0.14217709,0.03515015,0.03183240,0.01832182,0.03183240,0.01832182,0.02574866,0.00890317,0.02114877,0.01863323
segment,0.02974026,0.02060811,0.02974026,0.02060811,0.02538101,0.02188700,0.02538101,0.02188700,0.02974026,0.02060811,0.02974026,0.02060811,0.02974026,0.02060811,0.02974026,0.02060811,0.01430294,0.00885432,0.01430294,0.00885432
vehicle,0.21241134,0.04831913,0.21241134,0.04831913,0.16861023,0.04088532,0.16856495,0.04083243,0.21241134,0.04831913,0.21278384,0.04767970,0.21241134,0.04831913,0.21241134,0.04831913,0.15422997,0.02888192,0.15386787,0.02878043
winequality_white,0.02517354,0.01457488,0.02517354,0.01457488,0.04998441,0.02391144,0.09794442,0.06095987,0.02517354,0.01457488,0.12110875,0.03289447,0.02517354,0.01457488,0.02517354,0.01457488,0.01645191,0.00775457,0.01855258,0.02026637
ecoli,0.02946429,0.04029305,0.02946429,0.04029305,0.00982243,0.01240294,0.02102319,0.03295862,0.02946429,0.04029305,0.03501992,0.02193864,0.02946429,0.04029305,0.02946429,0.04029305,0.00912143,0.00849797,0.01938179,0.02804053
semeion,0.50207156,0.10867659,0.50207156,0.10867659,0.40036362,0.05316100,0.69040519,0.10217849,0.50207156,0.10867659,0.39136809,0.04739280,0.50207156,0.10867659,0.50207156,0.10867659,0.32676086,0.05149140,0.53751272,0.11223068
wine,0.20674157,0.10315683,0.20674157,0.10315683,0.19295271,0.08617253,0.20491110,0.08614469,0.20674157,0.10315683,0.20021941,0.09864073,0.20674157,0.10315683,0.20674157,0.10315683,0.18227227,0.09093247,0.19046636,0.09422814
ionosphere,0.21737891,0.04767379,0.21737891,0.04767379,0.15741023,0.02729886,0.14056961,0.03139500,0.21737891,0.04767379,0.28357142,0.07261374,0.21737891,0.04767379,0.21737891,0.04767379,0.18363415,0.02973991,0.14948049,0.02153130
